,108.956
533,109.166
534,109.121
535,109.129
536,109.113
537,109.047
538,109.099
539,109.108
540,109.161
541,109.058
542,109.075
543,109.032
544,108.907
545,109.129
546,109.118
547,109.135
548,109.168
549,109.027
550,109.05
551,109.079
552,109.081
553,109.14
554,109.135
555,109.092
556,109.029
557,109.037
558,109.036
559,109.091
560,109.1
561,109.083
562,106.461
563,109.115
564,109.015
565,109.028
566,109.099
567,109.108
568,109.104
569,109.129
570,109.099
571,109.037
572,109.09
573,109.119
574,106.293
575,109.029
576,109.062
577,109.09
578,109.051
580,109.11
581,109.034
582,109.111
583,109.117
584,109.214
585,109.047
586,109.099
587,109.054
588,109.102
589,109.131
590,109.137
591,109.052
592,108.915
593,109.03
594,109.073
595,109.058
596,109.142
597,109.174
598,109.124
599,109.073
600,108.948
601,109.014
602,109.123
603,109.106
604,109.104
605,109.036
606,109.067
608,109.014
609,109.126
610,109.103
612,109.099
613,109.119
614,109.104
615,108.983
616,108.599
617,109.086
618,109.045
619,109.047
620,109.051
621,109.054
622,109.023
623,109.03
624,109.119
625,109.009
626,109.076
627,108.848
628,109.089
629,109.181
630,109.143
631,109.082
632,109.051
633,109.089
634,109.157
635,109.103
636,109.074
637,109.018
638,109.122
639,109.124
640,109.089
641,109.013
642,105.417
643,109.1
644,109.103
645,109.024
646,109.1
647,109.151
648,109.151
649,109.124
650,109.09
651,109.046
652,108.731
653,106.166
654,108.999
655,109.058
656,109.193
657,109.111
659,109.126
660,109.078
661,109.054
662,109.083
663,109.124
664,108.944
665,109.053
666,109.076
667,109.112
668,109.01
669,108.971
670,109.062
671,106.08
672,109.055
673,109.094
674,109.044
675,109.063
676,109.091
677,109.036
678,109.109
679,109.142
680,109.109
681,109.074
682,109.101
683,109.173
684,109.062
685,109.023
686,109.057
687,109.077
688,109.059
689,109.124
690,109.024
691,109.109
692,109.071
693,109.14
694,108.556
695,108.996
696,109.04
697,109.136
698,109.102
699,109.067
700,108.975
701,108.919
702,109.053
703,109.057
704,108.975
705,108.967
706,109.102
707,109.041
708,109.142
709,109.09
710,109.107
711,109.003
712,109.09
713,109.071
715,109.102
716,109.074
717,109.131
718,109.089
719,109.171
720,109.092
721,108.923
722,109.113
723,109.024
724,109.112
725,108.974
726,109.015
727,109.089
728,109.026
729,109.053
730,109.129
731,109.054
732,108.965
733,109.062
734,108.926
735,109.021
736,109.017
737,108.877
738,109.027
739,108.887
740,108.99
741,108.958
742,109.17
743,109.096
744,109.145
745,109.08
746,109.076
747,109.092
749,109.036
750,109.052
751,109.03
752,108.095
753,109.102
754,109.115
755,109.123
756,109.034
757,109.024
758,109.005
759,109.099
760,109.009
761,109.084
762,109.123
763,109.096
764,109.099
765,108.978
766,109.09
767,109.145
768,109.01
769,109.09
770,106.2
771,109.09
772,109.11
773,109.107
774,109.046
775,109.101
776,109.087
777,109.109
778,109.056
779,109.068
780,109.107
781,109.089
782,109.017
783,109.058
784,109.19
785,109.121
786,109.152
787,109.126
788,109.157
789,109.113
