,name,target,calc,r2,mse,msa,expl-var
0,LinearR,['txentrega'],mean,0.7534147440623874,-252.3768815317661,-11.517434649659673,0.7535424429315432
1,LinearR,['txentrega'],std,0.008301023477347257,7.609059284920605,0.1964467987378604,0.008322848344223598
2,SVR,['txentrega'],mean,0.7444292696271164,-261.6157052914061,-7.32750946484632,0.7577917668464983
3,SVR,['txentrega'],std,0.010160796215087578,10.730679240879407,0.18133431748294904,0.008746297080819325
4,LinSVR,['txentrega'],mean,-1.1715227215997155,-2214.9768084099405,-29.77884948818479,-0.3051511556923763
5,LinSVR,['txentrega'],std,1.1437506598615348,1147.6293580711983,10.002111850269696,0.5463183680295131
6,NuSVR,['txentrega'],mean,0.12481603799920157,-895.7721293913353,-27.611207329759687,0.24456753613139437
7,NuSVR,['txentrega'],std,0.012458073555051944,6.662312934633706,0.15162354901169592,0.0029333982095957733
8,KNN,['txentrega'],mean,0.9489516820996317,-52.27916547443429,-2.3476701942478764,0.9490785290665205
9,KNN,['txentrega'],std,0.004573516572247043,4.94713482856828,0.09154830383747004,0.004537679219232183
10,DecTreeReg,['txentrega'],mean,0.9971648391869922,-2.903865627861907,-0.5593298714812105,0.9971656427520547
11,DecTreeReg,['txentrega'],std,0.00018970372175365678,0.21805462012791718,0.028483920805703316,0.00018895959982503862
12,NNET,['txentrega'],mean,0.9568160489645468,-44.00655989441131,-3.9950607506727804,0.9584584610895458
13,NNET,['txentrega'],std,0.033685591089525395,34.186508301479655,1.7017474686430398,0.03334876399849795
14,GBE,['txentrega'],mean,0.9957832376560546,-4.316689260665079,-1.2262429644116561,0.9957864317252308
15,GBE,['txentrega'],std,0.00017695754005337864,0.18915026798718643,0.028261775407948206,0.00017944767551442413
16,LinearR,['diff-txentrega'],mean,-609.0449656106049,-148354999478.63123,-9497.527875528624,-558.0098974369032
17,LinearR,['diff-txentrega'],std,1074.4839643900345,295828637860.9624,2286.4440741351036,984.4473823597459
18,SVR,['diff-txentrega'],mean,-0.0008173592372649807,-148006546713.08237,-2846.1534020366257,1.8008856701223762e-06
19,SVR,['diff-txentrega'],std,0.00042358285238347325,296005314796.67474,5574.767142632543,1.8398781806987727e-06
20,LinSVR,['diff-txentrega'],mean,-0.0008290268243950738,-148006535445.5552,-2846.537041547868,-1.115940552185446e-05
21,LinSVR,['diff-txentrega'],std,0.00040762174740704776,296005292311.15753,5574.691613935602,1.9673204132073484e-05
22,NuSVR,['diff-txentrega'],mean,-0.0008131389939899147,-148006547017.76926,-2846.208892978948,4.7496477517672275e-06
23,NuSVR,['diff-txentrega'],std,0.0004246843644436325,296005315427.2283,5574.766117579832,4.816310467236264e-06
24,KNN,['diff-txentrega'],mean,-290709.7122878088,-333011510223.03156,-9871.839414187985,-290629.6725074413
25,KNN,['diff-txentrega'],std,510638.3278243471,215750185628.04163,3444.211081514108,510503.3081164643
26,DecTreeReg,['diff-txentrega'],mean,-40909.77201230053,-444016072435.3548,-8482.418838494621,-40888.3277263795
27,DecTreeReg,['diff-txentrega'],std,81797.59896045779,592011594123.1952,11170.775178033931,81754.72865203492
28,NNET,['diff-txentrega'],mean,-574.9921859004336,-148340965346.51587,-6342.8686810052,-553.9680321140308
29,NNET,['diff-txentrega'],std,1010.6861417321252,295834544489.4808,3884.017658770833,974.292489876322
30,GBE,['diff-txentrega'],mean,-40897.733666965614,-443963749587.46893,-8497.350384116178,-40876.321011094835
31,GBE,['diff-txentrega'],std,81786.09511520078,591923855714.8018,11152.530169414185,81743.31154178921
